"","Minutes","NClxT","TPsum","avNcycT","avSPLT","kHz125ileT","kHzMedianT","kHz875ileT","kHzModeT","percentupT","avUpT","percentdownT","avDownT","Clks_s_25ile","Clks_s_median","Clks_s_75ile","Clks_s_mode","HiQ","ModQ","Season","Random","FMA"
"202",1,15,86719,7,35,128,127,33,7,53,7,35,35,0,15,0,35,0,15,"Winter",0.823519485,"FMAII"
"203",1,6,27168,5,18,129,129,50,4,50,1,37,37,0,6,0,37,0,6,"Winter",0.6513729913,"FMAII"
"204",1,92,6764912,5,97,114,113,47,8,41,6,43,3.5,0,92,12,3.5,0,92,"Winter",0.3375363117,"FMAII"
"205",4,48,232653,6,22,127,121,18,3,77,6,35,32,0,48,0,32,0,48,"Winter",0.107937389,"FMAII"
"206",11,101,349425,6,26,132,133,14,5,79,6,56,56,11,90,0,56,11,90,"Winter",0.3283648558,"FMAII"
"207",30,2175,6938745,9,40,130,132,31,7,62,8,62,69,1090,1085,3,69,1090,1085,"Winter",0.8650312008,"FMAII"
"208",28,328,5734269,8,21,130,130,25,4,70,7,47,45,33,295,3,45,33,295,"Winter",0.5272461909,"FMAII"
"209",9,286,1299567,6,34,128,128,6,2,87,5,53,57,79,207,0,57,79,207,"Winter",0.1658053669,"FMAII"
"210",9,257,1003212,12,32,131,129,28,5,67,7,81,81,122,135,0,81,122,135,"Winter",0.1166107721,"FMAII"
"211",44,3416,10466118,7,37,130,129,24,6,67,6,75,66,1265,2151,28,66,1265,2151,"Winter",0.3291563755,"FMAII"
"212",1,6,27168,5,18,129,129,50,4,50,1,37,37,0,6,0,37,0,6,"Winter",0.6513729913,"FMAII"
"213",30,2175,6938745,9,40,130,132,31,7,62,8,62,69,1090,1085,3,69,1090,1085,"Winter",0.8650312008,"FMAII"
"214",28,328,5734269,8,21,130,130,25,4,70,7,47,45,33,295,3,45,33,295,"Winter",0.5272461909,"FMAII"
"215",9,257,1003212,12,32,131,129,28,5,67,7,81,81,122,135,0,81,122,135,"Winter",0.1166107721,"FMAII"
"216",9,257,1003212,12,32,131,129,28,5,67,7,81,81,122,135,0,81,122,135,"Winter",0.1166107721,"FMAII"
"217",14,454,2984003,7,28,132,132,16,4,78,5,48,23,40,414,0,23,40,414,"Winter",0.2455289554,"FMAII"
"218",1,5,25903,9,16,132,132,0,0,100,9,31,31,0,5,0,31,0,5,"Winter",0.4280649062,"FMAII"
"219",9,257,1003212,12,32,131,129,28,5,67,7,81,81,122,135,0,81,122,135,"Winter",0.1166107721,"FMAII"
"220",10,626,1037418,6,31,126,125,45,5,45,5,129,252,369,257,0,252,369,257,"Winter",0.1202099069,"FMAII"
"221",20,203,1073575,7,29,130,129,17,5,78,5,39,26,0,203,0,26,0,203,"Winter",0.9970270389,"FMAII"
"222",35,2411,14867167,8,36,128,129,23,5,71,6,49,43,391,2020,9,43,391,2020,"Winter",0.6473274309,"FMAII"
"223",16,25,66015,6,27,127,127,24,3,64,3,74,74,0,25,0,74,0,25,"Winter",0.5985045618,"FMAII"
"224",1,6,27168,5,18,129,129,50,4,50,1,37,37,0,6,0,37,0,6,"Winter",0.6513729913,"FMAII"
"225",23,298,2911625,6,37,126,126,14,4,78,5,27,25,0,298,0,25,0,298,"Fall",0.1839148459,"FMAII"
"226",9,286,1299567,6,34,128,128,6,2,87,5,53,57,79,207,0,57,79,207,"Winter",0.1658053669,"FMAII"
"227",22,1034,5201693,7,38,131,131,20,5,74,6,63,67,196,838,24,67,196,838,"Winter",0.5427847044,"FMAII"
